Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags;;;;;;;
2021-05-12 21:00:17,b'Rebutan bansos https://t.co/OS5MlUWfnK',1392585442868879363,PojokAtleti,0,Twitter for Android,0,[];;;;;;;
2021-05-12 20:50:24,b'RT @Djoked2: Ngabalin otaknya malah ada di anusnya. KPK kudu periksa Ngabalin duit korupsi Bansos yg disembunyikan di pantatnya. Qi qi qi.\xe2\x80\xa6',1392582956233814016,lukman2001,137,Twitter for Android,1,[];;;;;;;
2021-05-12 20:49:20,b'@YanHarahap @KPK_RI @jokowi Ingat kasus maikarta kasus harun masiku kasus bansos kemensos kasus bupati nganjuk dalam penanganan penyidik kpk.. Kenapa sebagian besar penyidiknya tidak lolos test kebangsaan menjadi ASN. Apakah kpk mulai dilemahkan sampai kapan korupsi bisa tuntas.. Jawabannya menunggu ...???',1392582689488719872,Gatot86057213,0,Twitter for Android,0,[];;;;;;;
"2021-05-12 20:45:50,""b'RT @KataBewe: PEMBUSUKAN di KPK makin DEGIL &amp";" BENGIS. Insan terbaik di KPK tengah DISINGKIRKAN. Mereka yg terbukti menegakkan marwah KPK,\xe2\x80\xa6'"",1392581805937623040,aco_anaogi,1744,Twitter for iPhone,1,[]";;;;;;
2021-05-12 20:45:24,b'RT @Djoked2: Ngabalin otaknya malah ada di anusnya. KPK kudu periksa Ngabalin duit korupsi Bansos yg disembunyikan di pantatnya. Qi qi qi.\xe2\x80\xa6',1392581699377123330,Frezaacoy,137,Twitter for Android,1,[];;;;;;;
2021-05-12 20:40:07,b'@CNNIndonesia Ini Muhammadiyah pengen dicap Radikal kali ya ama para penjilat madam bansos',1392580366934831106,NekoBrott,0,Twitter for Android,0,[];;;;;;;
2021-05-12 20:38:40,b'@panca66 @KPK_RI Kpk jekas 2 dilemahkan dg tidak lolosnya penyidik senior kpk dalam test kebangsaan menjadi sarat ASN yg diadakan BKN kpk adalah hantu bagi para koruptor. Para Penyidik kpk yg menangani kasus besar tindak korupsi Bansos kemensos.. Maikarta harun masicu bupati nganjuk',1392580003976552448,Gatot86057213,0,Twitter for Android,0,[];;;;;;;
2021-05-12 20:32:50,b'RT @Djoked2: Ngabalin otaknya malah ada di anusnya. KPK kudu periksa Ngabalin duit korupsi Bansos yg disembunyikan di pantatnya. Qi qi qi.\xe2\x80\xa6',1392578535940759556,gindoduri,137,Twitter for iPhone,1,[];;;;;;;
"2021-05-12 20:26:50,""b'@fnursyamsi @5194b @PSHKIndonesia Benar sekali ini. Bukan hanya bansos, tapi korupsi akan menjadi makin masif di banyak sektor jika gawang penanganan dan pemberantasannya lemah.'"",1392577027589382144,joniyulianto,0,Twitter for iPhone,0,[]";;;;;;;
"2021-05-12 20:22:14,""b'RT @fnursyamsi: @5194b Dampaknya terlalu, jadi harus terus melawan. Kelompok difabel dirugikan jika para penyidik yang berhasil mengungkap\xe2\x80\xa6'"",1392575866920521728,joniyulianto,2,Twitter for iPhone,1,[]";;;;;;;
