Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags;
"2021-05-08 22:26:35,""b'@KompasTV Kl pun OTT korupsi bansos hukumannnya ga maksimal(MATI).pdhl terjadi saat pandemi,@KPK_RI ! OTT oleh lembaga.bukan perorangan.Jd msh bs dilanjut oleh yg lolos tes!\nGiri ini subordinat dgn umumin pegawai2 yg tak lolos ke publik.pdhl Pimpinan blm rilis nama pegawai ybs.\n@kanal_kpk'"",1391157611454627843,boyke_bond_Jr,0,Twitter Web App,0,[]";
"2021-05-08 22:21:22,""b'@JRizkiyan @iamrifb @DCP_CCC_Delhi @jokowi Pak guru duwe Twitter rek. Ihir, pasti mo mint bansos nih.'"",1391156298398375936,cahdiavt_,0,Twitter for Android,0,[]";
2021-05-08 22:20:35,b'@pledis_17 Nie lagi pada antri bansos y',1391156100628586498,chwetrl,0,Twitter for Android,0,[];
"2021-05-08 22:18:12,""b'@IrnaLee5 @BersamaSahabat4 Oo iya ya..., Ada koruptor yg ngumpet dan ada yg ngumpetin ampe gini hari ngak ketemu dr partai apa ya???\nMenteri yg korupsi bansos dr partai apa???\nMenteri yg korupsi import benih lobster dr partai apa?? Apkh ini jg dr partai yg ngak jls????\nJd tergantung orgnya kali.'"",1391155502000738308,A5epGrt,0,Twitter for Android,0,[]";
2021-05-08 22:17:15,b'RT @hidayatj84: @satriohendri @idafauziyah @menakertrans Pertanyanya jgn sampai 21 juta penerima bansos yg masi siluman dn bisa disiapkan j\xe2\x80\xa6',1391155260048084993,haninhilbram,3,Twitter for Android,1,[];
2021-05-08 22:14:06,b'@YRadianto ini bansos komunitas motor trail bukan mudik lebaran 2021',1391154468037677060,Mase02551901,0,Twitter for Android,0,[];
"2021-05-08 22:14:02,""b'@seno_bolo @BersamaSahabat4 Oow...., Yg ngumpet dan yg ngumpetin.koruptor siapa dan dr partai apa???\nMenteri yg korupsi bansos dr partai apa, menteri yg korupsi import lobster de partai apa???\nIntinya tergantung manusianya..iya kan???\xf0\x9f\x98\x82'"",1391154453961592837,A5epGrt,0,Twitter for Android,0,[]";
"2021-05-08 22:11:54,""b'RT @vierda: Situ enak nakes punya gaji, situ enak ibunya sakit masih bisa dibawa ke RS. \n\nSeolah2 kondisi kek gini kita seneng gitu. Liat o\xe2\x80\xa6'"",1391153914230185986,awladibaskara,91,Twitter for Android,1,[]";
2021-05-08 22:10:41,b'@republikaonline Kl pro pancasila tuh ga korupsi bansos',1391153609706926083,DjafarTamtama,0,Twitter for Android,0,[];
2021-05-08 22:08:24,b'RT @andikabina: @KompasTV @msaid_didu Siapa yang terlibat korupsi Bansos dan KKP. Gak heran isu taliban sama radikal selalu dihembuskan. Me\xe2\x80\xa6',1391153035674406914,nashir_daewang,4,Twitter for Android,1,[];
2021-05-08 22:02:18,b'@lovvvlly Alhamdulillah siapa tau dapet bansos \xf0\x9f\x98\xad\xf0\x9f\x99\x8f',1391151497950359557,Mingyusdd,0,Twitter for Android,0,[];
"2021-05-08 21:58:16,""b'""""Oh, A Wibi teh kerjanya jadi wartawan?\nSuka ke sekolah-sekolah sama ke kelurahan/desa gitu atuh?\nKalo dana BOS cair, bansos cair, wartawan suka dateng biasanya kan.""""\n\nBodrek, bodrek... https://t.co/4uqk2gb4xQ'"",1391150483209744386,wbpratama,0,Twitter for Android,0,[]";
2021-05-08 21:56:23,b'Covid di Indonesia menghancurkan segalanya. Dimulai dari korupsi dana bansos sampai keagamaan pun dibatasi rakyat kecil lah yang sangat terkena dampak pandemi tak masuk akal ini. Masih banyak lainnya aturan - aturan yang memperbanyak masalah bukan mencari solusi yang tepat.',1391150010381733892,jiyujiyuen,0,Twitter for Android,0,[];
"2021-05-08 21:56:12,""b'RT @narkosun: Tanda2 ekonomi Indonesia mulai membaik. Pertumbuhan ekonomi pada TW1 2021 sebesar 1,45%.\n\nPemerintah masih terus mengupayakan\xe2\x80\xa6'"",1391149962382118912,TehManisPanas4,9,Twitter for iPhone,1,[]";
"2021-05-08 21:55:19,""b'Hehe..kan maunya gitu, biar korup sejenis bansos amaaaaan.. https://t.co/MRyYBfJBjH'"",1391149742680281090,winsoul64,0,Twitter for Android,0,[]";
"2021-05-08 21:53:30,""b'RT @vierda: Situ enak nakes punya gaji, situ enak ibunya sakit masih bisa dibawa ke RS. \n\nSeolah2 kondisi kek gini kita seneng gitu. Liat o\xe2\x80\xa6'"",1391149284821651456,bizzybudz,91,Twitter for Android,1,[]";
