ID,Tweet
"1,39115E+18",eh salahhh bab lg ngepet nngaku bayar pajak tp ngantri bansos nanak lonte muehe he he he
"1,3909E+18",elu kena tipu genk bansos otak lu nelen nya beras raskin doank tuh bong n nmuka lu benahin kalo nglawan gue xf xf x x
"1,39086E+18",emak ku buka with dewan parpol today ken kali aja jd politik trus korupsi bansos nwkwkwkkwkw nastagfirullah amit
"1,39115E+18",emosi kaga nulisnya beranta ng bagi bansos y
"1,39097E+18",enak bgt bikin kacang grg pake bumbu makroni dipakein pedes dikit xf xf x xb nkacangnya dapet bansos alhamdulillah
"1,39102E+18",era harun mas tdk tangkap alias biar liar awal kpu negara ambyar mega korupsi yg bansosjiwasraya asabri dll tangan tegak hukum akan mandeg tdk
"1,39105E+18",fakta alir dana bansos libat eks menteri sosial juliari batubara muncul salah satu d xe x xa
"1,39116E+18",firli jenderal bintang ukir prestasi makan anak buah harun mas madam anak lurah bansos aziz syamsudin ga progres nkpk lemah korupsi rajalela target antek xc xb pkc kuasa indonesia
"1,39088E+18",follower nya kebayakn dedemit nerima bansos fiktif
"1,39086E+18",foto kek terima bansos ku gitu xf xf x xad
"1,39101E+18",futago anjirrr asa ngantri bansos
"1,39089E+18",g berani korupsi wow yg ngentit bansos gimana
"1,39105E+18",ga gue orang yg kasih bansos xf xf x xad
"1,39086E+18",ga ngerti deh gua sistem bansos bst kantor pos cibinong gimana dpt undang nya semalem pagi langsung ambil kesini info lurah nya tgl ambil trs td yg ambil bareng datengnya gimana sih gajelas
"1,39103E+18",ga percaya covid antri depan ambil bansos covid
"1,39089E+18",ga percaya dgn covid sila ntp gilir ga dpt bansos covid teriak duluan indonesia negeri orang lucu pikir xf xf xe xb xf xf xe x
"1,39109E+18",ga tanggung dzalim nya parah hiks bansos korup gaji nakes ga turun alat swab bekas wna bebas masuk bobrok nya total bgt xf xf xa xa
"1,39113E+18",gaduh sengaja rakyat ribut dng yg sepele lupa yg koruptor bansoskasus kmmasuk nya tka asing dll
"1,39114E+18",gak bansos gak mangan sing mudik gak urus mangan ora mangan gak urus kerja ora kerja
"1,39087E+18",gak berani korupsi xf xf xa xa xf xf xa xa geli korupsi besar sampe triliun era dana bansos korupsi jaman melek doang ah
"1,39085E+18",gak dapet bansos yaa orang xf xf xa xa xf xf xa xa xf xf xa xa
"1,39082E+18",gara bansos yg korupsi epek mana
"1,39101E+18",gara-gara bipang menteri jabat sibuk fisi bipang kasihan kalo yg hobi makan babi panggang yg salah n nharta haram aja makan bipang nkorupsi bansos benur haram sakit rakyat
"1,39107E+18",gegara bipang issue nmudik papua kpk azis nanggala bansos tka cina dll njadi lenyap xf xf x x xf xf x x n n xf xf x xhebat manajemen issue rezim
"1,39108E+18",gegara bipang issue nmudik papua kpk azis nanggala bansos tka cina dll njadi lenyap xf xf x x xf xf x x n n xf xf x xhebat xe x xa
"1,39089E+18",giat bhabinkamtibmas aipda dedi s saragih melaksankanan bansos rangka jelang raya idul fitri bantu kg beras cap tomat tali asih bpk ajis desa silau padang kec sipispis dampak pandemi virus covid
"1,3909E+18",giat bhabinkamtibmas aipda dedi s saragih melaksankanan bansos rangka jelang raya idul fitri bantu kg beras cap tomat tali asih bpk lallan desa silau padang kec sipispis kab sergaiuang dampak pandemi virus covid
"1,39088E+18",giat bhabinkamtibmas aipda sulistyo melaksankanan bansos rangka jelang raya idul fitri bantu kg beras cap tomat tali asih anak anakdesa sipispis kec sipispis kab sergai dampak pandemi virus covid
"1,39088E+18",giat bhabinkamtibmas aipda sulistyo melaksankanan bansos rangka jelang raya idul fitri bantu kg beras cap tomat tali asih sekda sinaga desa sipispis kec sipispis kab sergaiyang dampak pandemi virus covid
"1,39114E+18",gisel kkp bansos aman
"1,39118E+18",gk duit gimana sih hutang dah t bentar lg ppn jd insentif nakes aja gk bayar duit nganter bansos korupsi xf xf xa xa n nyg anggar nya ya aparat narasi radikul telor jadi bikin cepet cair
"1,39116E+18",guru duwe twitter rek ihir mo mint bansos nih
"1,39083E+18",gw bilang jg apaaa nmasih linier dg siram air keras fitnah talib revisi uu kpk dg tes bangsat nliat aja mega korupsi yg bongkar bansos jiwasraya asabri dll muara you know who nkpk xc xbsdead
"1,39104E+18",hadeuuuh n nyg yg bancak bansos
"1,39096E+18",haha nsejak serius kpk ntrus yg skrg kayak asabri jiwasraya bumiputra bansos aja acakadul haha n ngw sih hiphip huray aja haha gembira foamfamily haha dah gak jaman mikirin negara
"1,39094E+18",hahaha guoblok bin tolol piara kau gegara suntik fucksin babi yaa nmaling bansos jiwasraya asabri zaman cuung kacuung xf xf xa xae xf xf xa xae
"1,39087E+18",hahhahaa bancak bansos gimana purut bong cebong partai ya sosok madam bansos yg sentuh gk kultus orang kkn kkn salah n nya nepotisme anak mantu walikota taekk taekkk
"1,39089E+18",hai sahabatekon n npemerintah salur bansos perlinsos tingkat konsumsi daya beli masy xe x xa
"1,39089E+18",hai sahabatekon n npemerintah salur bansos perlinsos tingkat konsumsi daya beli masyarakat n nyuk simak informasi nvia n
"1,39104E+18",haji munarman kritik keras korupsi dana bansos pdip beliau tangkap tahan dgn dalih libat terorisme xf xf x x n n xf xf x xc fpi korupsi dana bansos khianat rakyat derita akibat covid n n xf xf x x
"1,39118E+18",haji munarman kritik keras korupsi dana bansos pdip beliau tangkap tahan dgn dalih xe x xa
"1,39096E+18",hal yg serba kontradiksi berita bombastis aneh nyeleneh tuju n nsehingga jadi yg rugi masuk wna china korupsi biadab bansos juliari batubara wakil bendahara pdip lupa n napakah sengaja
"1,39095E+18",halal nyg beli pakai uang nyari nafkah halal n nkalau beli pakai uang korupsi bansos ya tetep aja haram n naduh julid
"1,39114E+18",harap endorse polri biar semangat cari harun mas selesai korup bansos dkk nya semangat densus berantas kkb dll n nmalah endorse babi
"1,39115E+18",hehe mau gitu biar korup jenis bansos amaaan
"1,39118E+18",hibah bansos xf xf x xd
"1,39113E+18",hijau cair cek hari saya gak bansos apacuma ngasi kpd org yg blm faham pakai hp android biarpun gak bansos apameskipun sdh kirim berkas sesuai dgn syaratgak apa jokower
"1,39105E+18",hngg seru manfaat lgi bagi bansos
"1,39102E+18",hormat indonesia kabar nrakyat indonesia kabar ncovid indonesia kabar norang india indonesia kabar norang cina kabar nkorupsi bansos gimana cerita nkpk kabar
"1,39096E+18",idul fitri n ntak terima bansos antri bukber n n n n nantri meja
"1,39114E+18",indeed trik pinokio utk alih isu kubur kpk isu maduknya cina bondong bobdobg isu mudik yg sengsara korupsi bansos penetima ganda utk alih perhati rakyat bobeka mah suruh bikin ribut nama peminpin janncuuuk
"1,39088E+18",indonesia kena poverty trap aku cilik asli licik n nbansos aja korupsi bos
"1,39096E+18",inti kpk lemah harun mas hadir indonesia metrei sosial korupsi dana bansos hukum mati oooeeaaa partai juara korup indonesia nafas lega
"1,39093E+18",iq sy djem cerdas hahaha n ndia ngebahas gk gaji mati kelaperan kerja msh dpt makan lupa bnyk yg dr tahun utk makan aja hrs nunggu bansos yg dikit isi xf xf x x
"1,39094E+18",itu uda selesain dungu xf xf xa xa n nyg rakyat indonesia madam bansos xf xf x x
"1,39096E+18",itu uda selesain dungu xf xf xa xa n nyg rakyat indonesia xe x xa
"1,39099E+18",iya bener kaya korupsi bansos ga tengok mana ya laku xf xf xa x
"1,39095E+18",iya bos uang bansos nya jarah maling maling sok nkri maling sok pancasila
"1,39101E+18",iya nkalo bansos kali kasih kalo duit pensiun umur hidup n ntahu ga s xe x xa
"1,39102E+18",iya yg nggk lolos tes yg tangan korupsi salah satu bansos ya
"1,39088E+18",iyaa kampung jg dilema bantu perintah ngga masuk bansos tp butuh
