ID,Tweet
"1,39114E+18",kalo ketemu mahluk jenis bawa paket sembako ama materai rb kasi gagal dapet bansos ama bantu umkm gonggong ubah ringkik
"1,39087E+18",kalo minjem duit smp sih ga balikin trs lo pura lupa w legowo karna kenal banget tp ga minjem duit juta anjrit lo pikir gua panitia bansos
"1,39096E+18",kalo nerima bansos jarah bansos ngk gitu manusia aneh
"1,39082E+18",kalo sdh korupsi bansos benur dll kpk yg bongkar polisi j
"1,39087E+18",kalo yg pancasilais koruptif maling duit bansos persentase turun
"1,39102E+18",karaoke pakai duit bansos astaghfirullah
"1,39091E+18",kasi un nilep uang bansos covid ya ga
"1,39085E+18",kasih makan rakyat bansos aja korupsi kl dana gelontor perintah yahh korupsi susah susah kl individu ga ngeyel ikutin prokes scr aja udah nenangin banget
"1,39086E+18",kawal madam bansos anak lurah harun mas robin terima suap
"1,39093E+18",keduluan korupsi bansos niha
"1,39097E+18",kejar madam bansos
"1,39098E+18",kemensos cair bansos lebaran cek terima bpnt pkh
"1,39096E+18",kemensos cair bansos lebaran cek terima bpnt pkh bantuansosial bansos bansoscovid via
"1,39095E+18",ken batagor bansos bluru jalan e menit wedi gabuka
"1,39091E+18",kepala badan intelijen negara libat korupsi bansos semangat menyingk
"1,39104E+18",kesel korupsi bansos tau
"1,39111E+18",kira mayoritas rakyat kadrun ga malu ga ngakui presiden nyinyrin presiden gilir bansos mingkem
,kjp plus bansos blt umkm kartu prakerja subsidi listrik
"1,39116E+18",kl ott korupsi bansos hukumannnya ga maksimal mati pdhl pandemi ott lembaga bukan orang jd msh bs lanjut yg lolos tes giri subordinat dgn umumin pegawai yg lolos publik pdhl pimpin blm rilis nama pegawai ybs
"1,39115E+18",kl pro pancasila tuh ga korupsi bansos
"1,39091E+18",klau gak ngasih bansos ya gak ngatur batas ekonomi rakyat gak mslu
"1,39102E+18",klo saham proyek jatah bansos jabat budaya hehehe
"1,39085E+18",kmharun masikumadame bansoskorupsi benurraib
"1,39106E+18",knp sih hrs nguprek bansos gitu deh
"1,39092E+18",komisi berantas korupsi kpk pegawai lulus tes wawas bangsa twk sumber pegawai kpk lolos sidik tangan kakap bansos covid
"1,39094E+18",koq nama lsg sih min anak lurah goodie bag bansos apa jahat ihh
,korupsi bansos
"1,39083E+18",korupsi bansos covid gelap yg hukum mati jd lenggang dg santuy
"1,39102E+18",korupsi bansos gimana yg rugi cilikgimana harun mas segarterkesan ngalihin insyu
"1,39095E+18",korupsi bansos terang benderang bikin gelap kpk
"1,39118E+18",korupsi bansos ya
"1,39108E+18",korupsi bansoskorupsi benur lobsterkorupsi asabrikorupsi jiwa srayadll laku sptnya aman aja ya tp
"1,39091E+18",koruptor bansos buron harun mas petinggi pdi-p yg libat korupsi bansos rubah
"1,39091E+18",koruptor bansos buron harun mas petinggi pdi-p yg libat korupsi bansos rubah ideologi pancasila tangkap sibuk men-teroris-kan fpi anjay suranjay sek lupa tugas negarasobat tweeps lupa syuhadafpi ya ok
