Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags;;;
"2021-05-09 23:48:12,""b""""RT @jetsilvers: Semoga keluarga ini diberkahi oleh Alloh Ta'ala.\n\nSangat tabah dan sabar. Betapa beratnya jalan kaki sejauh Gombong ke Band\xe2\x80\xa6"""""",1391540539892256772,qur_ta,2,Twitter Web App,1,[]";;;
2021-05-09 23:48:08,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391540519944134659,AffanJu_Wanda,2340,Twitter for Android,1,[];;
2021-05-09 23:47:49,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391540441053499397,kopi_angek,2340,Twitter for Android,1,[];;
2021-05-09 23:47:24,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391540336091025410,hhhhanifa,2340,Twitter Web App,1,[];;
2021-05-09 23:47:05,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391540256042676224,zainal14arifin,2340,Twitter for Android,1,[];;
"2021-05-09 23:47:00,""b'RT @maspiyuaja: Ternyata Pegawai KPK Yang Tak Lolos """"Tes Kabangsaan"""" Sedang Tangani Korupsi Bansos! https://t.co/XKxj04GkXG https://t.co/bo\xe2\x80\xa6'"",1391540235201249284,Choco_strwbrry,879,Twitter for Android,1,[]";;;
2021-05-09 23:46:16,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391540052879048706,pitungtulungan,2340,Twitter for Android,1,[];;
2021-05-09 23:46:04,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391539999296802816,SomoGlebod,2340,Twitter for Android,1,[];;
2021-05-09 23:45:40,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391539898578923524,DTar169,2340,Twitter for Android,1,[];;
2021-05-09 23:45:23,b'RT @UyokBack: Ternyata Pegawai KPK tak Lolos TWK Sedang Tangani Korupsi Bansos dan KKP yang Jerat 2 Menteri\n\nhttps://t.co/WbsRoOF1cr',1391539830132146177,AloelAsheen,212,Twitter for Android,1,[];;;
"2021-05-09 23:45:16,""b'Selama @jokowi menjabat, tdk akan terungkap. Sama halnya dgn harun masiku dan madam bansos. https://t.co/E6FEEC0hQl'"",1391539798578507779,penipu_2periode,0,Twitter Web App,0,[]";;;
2021-05-09 23:45:09,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391539772363984897,anamjb82,2340,Twitter for Android,1,[];;
2021-05-09 23:45:07,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391539760431124481,Aa49852008,2340,Twitter for Android,1,[];;
2021-05-09 23:44:44,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391539667682533376,doyok_macca,2340,Twitter for Android,1,[];;
2021-05-09 23:43:17,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391539300320223233,leonardprm,2340,Twitter for Android,1,[];;
2021-05-09 23:43:16,b'RT @UyokBack: Ternyata Pegawai KPK tak Lolos TWK Sedang Tangani Korupsi Bansos dan KKP yang Jerat 2 Menteri\n\nhttps://t.co/WbsRoOF1cr',1391539296440512514,pitutururip,212,Twitter for Android,1,[];;;
2021-05-09 23:42:58,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391539219630198785,ibnudona,2340,Twitter for Android,1,[];;
2021-05-09 23:42:56,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391539212680237058,OSoenarko,2340,Twitter for Android,1,[];;
2021-05-09 23:42:33,b'RT @xosantoz: @henrysubiakto Apakah ini yg dimaksud Kriteria merusak NKRI prof..?? :\n\n1. Korupsi Bansos dll\n2. Hutang ugal2an\n3. Biasa ingk\xe2\x80\xa6',1391539114382557188,silentisnotgold,298,Twitter for Android,1,[];;;
2021-05-09 23:42:14,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391539037039517696,maxaghie,2340,Twitter for Android,1,[];;
2021-05-09 23:42:11,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391539025589067777,Cerry15657334,2340,Twitter for Android,1,[];;
2021-05-09 23:41:44,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391538912208687105,suryadelalu,2340,Twitter for iPhone,1,[];;
2021-05-09 23:41:41,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391538897440542722,JuniOthman2,2340,Twitter for Android,1,[];;
2021-05-09 23:40:56,b'@Pki59905467 @eko_kuntadhi Lah..kasus bansos pelakunya ada dipenjara. Apa anda mau nemenin tuh koruptor ?? Cari ada ke tahanan KPK.',1391538708587843584,tabithajanuary2,0,Twitter for Android,0,[];;;
2021-05-09 23:40:56,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391538707308552196,Mirasantika30,2340,Twitter for Android,1,[];;
2021-05-09 23:40:30,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391538601905725441,agusadnan23,2340,Twitter Web App,1,[];;
2021-05-09 23:40:27,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391538588593004545,dwi_maulana28,2340,Twitter for Android,1,[];;
2021-05-09 23:40:27,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391538587573710848,Abudiman20,2340,Twitter for Android,1,[];;
2021-05-09 23:40:20,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391538557664169989,Lord_Sakto,2340,Twitter for Android,1,[];;
2021-05-09 23:40:17,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391538545874018305,mahmoel_,2340,Twitter for Android,1,[];;
2021-05-09 23:40:07,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391538505684164609,JOKOAS,2340,Twitter for Android,1,[];;
2021-05-09 23:39:43,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391538403150159876,ilhamprmn,2340,Twitter for Android,1,[];;
