Tanggal;Banyak Retweet;Tweet
05/05/2021 03:05;30.0;takut madam bansos tangkap icw duga pecat pegawai kpk lolos tes rancang
05/05/2021 03:07;0.0;iya benerr suka berandai-andai coba 2 positif korona wkt indo langsung lockdown country terus dana bansos korupsi
05/05/2021 03:07;0.0;urus ngelawak karena bicara tentang fakta tau karena berpatisipasi ngurus bansos kalau keluarga dapat mikir
05/05/2021 03:08;0.0;genjot daya beli konsumsi masyarakat lebaran perintah cepat cair bansos mei dengar kabarsiangrampati ayu rk informasi bantu sosial cair
05/05/2021 03:08;10.0;lupa maling bansos hukum mati
05/05/2021 03:09;0.0;gengsi bib supaya anggap sebagai orang kaya kalau bagi bansos tetep rebut
05/05/2021 03:14;0.0;heuh pas baca berita bansos dipake karokean hura 2 kzl haha beda jalur sih ngan pajak dipake benar orang hidup juga mudah tinggal itu fasilitas harusnya dibkin pajak
05/05/2021 03:15;0.0;saya anti perintah bansos daerah bogor tamansari dapat sesuai instruksi presiden dptnya kue susu kental manis saya sudah simpan bukti belum daerah bekas bansosnya potong untuk bagi dapat bansos adalagi sasar termasuk orkay tapi dapat bansos
05/05/2021 03:16;0.0;sengkarut data bansos rizal ramli skandal jahat  memalukan
05/05/2021 03:17;0.0;pas cerita anak papah muda karaoke teman 2 kamu nak pake uang bansos besok gitu ya okey pah laksana
05/05/2021 03:17;0.0;props perintah strategi hadap pandemi korupsi bansos motongin libur
05/05/2021 03:17;0.0;bansos korup kpk lemah kelompok makhluk anies baswedan kotor
05/05/2021 03:18;9.0;libat korupsi karaoke ciprat 1 rupiah penjara din
05/05/2021 03:18;0.0;puasa puasa diajakin korupsi duit bansos batal puasa
05/05/2021 03:19;16.0;berani kpk sama madam bansos
05/05/2021 03:19;7.0;mikirin situasi negara bikin puyeng raja boneka menteri kasbon menteri gabung iblis penjara maki
05/05/2021 03:20;0.0;kpk lemah karena banyak mantan anggota dewan akan bisnis bansos dan lobster
05/05/2021 03:23;0.0;pusing banget baca berita dana bansos pakai hura 2 tega jahat
05/05/2021 03:26;0.0;bansos yaa
05/05/2021 03:26;0.0;bumn bulog tidak sebagai sedia bansos kemensosnya nyari cuan bumn kasih cuan
05/05/2021 03:26;0.0;buzzerp bansos lu
05/05/2021 03:26;;kemarin 2 tapi nyangkut madam bansos  
05/05/2021 03:27;0.0;21 juta ganda kalau 1 dicuri tidak 2 1x bansos 300rb 6m embat garong
05/05/2021 03:28;0.0;bansos kota bogor sasar tinggal dapat bansos 1 keluarga dapat double triple bagi
05/05/2021 03:30;1.0;sidik pecat kpk tangan bansos covid 19 benur e-ktp
05/05/2021 03:31;0.0;banyak gaya kamu zakat nyombongin saja kamu dana bansos kamu embat goblok
05/05/2021 03:35;0.0;maksud korupsi jatah jabat pns non-pajak ingat korupsi bansos pns wajib korupsi pake tukin ato kagak
05/05/2021 03:36;0.0;temu 21 juta data ganda terima bansos aleg pks dpr panggil menteri sosial
05/05/2021 03:36;0.0;kamu pikir efektif duit utang korup dana bansos mikir tong
05/05/2021 03:38;0.0;kayane sih neng indo makmur sejahtera bansos lancar tidak ada korupsi perintah bersih kilap
05/05/2021 03:39;0.0;subsidi bunga jamin untuk bantu modal bantu modal umkm pajak umkm tanggung perintah skema bansos msh
05/05/2021 03:42;0.0;aneh nama madam bansos anak lurah hilang sama ramai islamphobia isu radikal radikul main buzzrp
05/05/2021 03:43;0.0;bansos seperti  ni
05/05/2021 03:48;10.0;aleg pks bukhori yusuf komisi viii dpr ri panggil menteri sosial risma kait lapor
05/05/2021 03:48;0.0;banget baca vice korupsi bansos covid kemarin dipake karokean ngebayangin ngorting makan expired rakyat miskin mati lapar halhal maksiat double kill
05/05/2021 03:49;0.0;mencuri bansos tidak hub dengan partai dulu gubernur sumut pks juga curi presiden pks juga curi sapi jenggot agama bajing
05/05/2021 03:50;266.0;
05/05/2021 03:50;0.0;mahal karaoke jakarta pakai duit bansos bayar pakai duit pribadi aku karaoke 80k jam rame rame
05/05/2021 03:50;3.0;uang pungutan liar kembali uang bansos sikat
05/05/2021 03:50;0.0;jangan diputarbalik benar kalau novel dan kawan-kawan disingkirin bisa itu korupsi bansos sampai petinggi nye sampai madam cilaka deh kamu jegal orang lindung koruptor
05/05/2021 03:50;0.0;madam bansos mafia kaum oligarki berkalaborasi taipan hitam
05/05/2021 03:51;0.0;jabat korup bansos 2 daerah bal oknum 2 manfaatin pandemi seperti korban 2 emang negara sehopeless
05/05/2021 03:52;0.0;korupsi bansos seperti keren banget adegan film karaoke deal deal an negara darurat ciamik
05/05/2021 03:54;37.0;duga takut klompok tidak lolos tes bangsa syarat asn ngawur insan baik bukan focus korupsi bansos kes politis kalau insan coba dalam duga seleweng apbd dp formula e lebih bayar damkar
05/05/2021 03:54;2.0;lanjut usut korupsi bansos kemensos
05/05/2021 03:56;37.0;duga takut klompok tidak lolos tes bangsa syarat asn ngawur insan baik
05/05/2021 03:59;0.0;sih hukum lapor lupa kereta cepat jakarta-bandung proyek mangkrak covid but risma bilang 21 juta terima bansos palsu puluh lipat biaya formula e
05/05/2021 03:59;0.0;sp3 blbi rekomendasi sidik bilang sidik tidak lolos tangan mega korupsi bansos tapi blbi di sp3 sehat
05/05/2021 04:00;7.0;dpr panggil risma kait 21 juta data ganda terima bansos
05/05/2021 04:05;0.0;bau sembako bansos
05/05/2021 04:06;0.0;bansos receh situ waras data ganda 21 jt bilang mensos bantu sunat juli tolol kamu zer zer zer
05/05/2021 04:11;0.0;korupsi dana bansos benar musuh miskin musuh rakyat public enemy
05/05/2021 04:11;1.0;yaolo anak bansos
05/05/2021 04:12;0.0;markas koruptor bansos gimana nih
05/05/2021 04:12;0.0;sliweran berita dana bansos dipake karaoke tarik pl balik
05/05/2021 04:13;0.0;seperti maling uang bansos atw dengan kader pdip nama ngilang berkas korupsi bansos
05/05/2021 04:14;0.0;rampok bansos pdip rampok payudara nasdem
05/05/2021 04:14;0.0;kebanyakan gugur tanya madam bansos jaya koruptor hidup korupsi sikat uang negara
05/05/2021 04:15;0.0;2 pecat sidik senior tangkap suap kpu sangka harun masiku suap bansos covid wawasan korupsi kelas kakap berani bongkar pecat
05/05/2021 04:15;38.0;firli bahuri bongkar 21 juta data ganda terima bansos salur abal-abal
05/05/2021 04:17;0.0;akal arah lidi korupsi bansos
05/05/2021 04:17;0.0;iya buzzer bansos biar bansos sasar teroris terima bansos juga bukan buzzer salur bansos tuju juliari hukum mati
05/05/2021 04:19;0.0;lip  di 21 juta data bansos ganda dpr mensos pahlawan
05/05/2021 04:19;0.0;maksud kamu korupsi bansos covid e-ktapi hitung milyar wkyg buta mata hati mati sebagai anak bangsa
05/05/2021 04:20;0.0;21 juta akun bodong bansos lapor bu risma wauu sungguh jahat
05/05/2021 04:20;1.0;data ganda terima bansos risma panggil dpr
05/05/2021 04:22;0.0;tepat fraksi fekaes bu mensos benarcc
05/05/2021 04:25;5.0;bansos misteri
05/05/2021 04:25;0.0;ouwhh korupsi bansos jancuukk
05/05/2021 04:27;50.0;rizal ramli firli bahuri bongkar 21 juta data ganda terima bansos salur abal-abal
05/05/2021 04:28;0.0;emak bpk saya kalau lagi susah diem lagi duit diem sampai anggap keluarga kalau dapat bansos seperti  orang 2 itu aneh gitu lihat padahal hey orang tua saya nyembunyiin susah anjir
05/05/2021 04:28;0.0;tega curi hak rakyat pandemi covid 19 rakyat butuh bantu ekonomi merosot harga banting murah tidak beli daya beli anjlok penmencuri bansos roboh negara
05/05/2021 04:28;0.0;teriak saran duit duit sudah habis untuk ada pandemi bansos eh bansosnya korupsi
05/05/2021 04:36;0.0;lolos integritas zaman lobi radikal radikal gagal korupsi radikal musuh bisnis bansos ditangkep radikal
05/05/2021 04:38;;temu 21 juta data ganda terima bansos dpr panggil  
05/05/2021 04:39;0.0;babi ngepet pandai nyanyi
05/05/2021 04:40;0.0;bongkar tuntas 21 juta data ganda cair bansos
05/05/2021 04:43;0.0;bacot kamu mbambang bansos kamu bilang mega korupsi tai kamu buta lihat seleweng dki
05/05/2021 04:43;0.0;komisi viii dpr ri tidak terima lapor kait data ganda terima bansos pertinyiinnyi dpr kerja terima lapor ruwet
05/05/2021 04:45;0.0;bktm rejomulyo aipda bustanul arifinpemantauan monitoring salur bansos sahabat tahap i kel rejomulyo
05/05/2021 04:48;0.0;insentif bansos
05/05/2021 04:48;0.0;rakyat tuntut rumah jaga jarak gaboleh mudik gilir atas korup bansos masukin wna
05/05/2021 04:50;0.0;i like this guy bilang nenek lampir cengar cengir wae ngangon banteng korupsi bansosbayangin rezim komunis 2014 aju anggar dpr bansos 6 bansos blt pra kerja dllternyat korup
05/05/2021 04:50;0.0;maknya ngandung ngidam dana bansos tidak nga
05/05/2021 04:51;0.0;harus apresiasi taliban berantas korupsi indonesia e-ktapi tsk samin setya novanto bansos ri underground 2 model taliban nusantara dukung bom 2 rakus ilmu nya
05/05/2021 04:53;0.0;karokean bansos wkwk
05/05/2021 04:55;0.0;gembar gembor silikon valey industri 4 0 big data teori teleportasi bicara ndakik 2 sampai paham bank rekening terima bansos bawa surat lengkap gimana mas
05/05/2021 05:00;0.0;keur nakol koruptor bansos oge ieu kang
05/05/2021 05:00;0.0;madam makan duit rakyat tidak proses kejam duit bansos ditabilitas makan pilih kasih tangan
05/05/2021 05:05;0.0;self reward pake uang korupsi bansos saya aneh plus sinting
05/05/2021 05:07;0.0;hakim coba kenal madam bansos
05/05/2021 05:11;15.0;janji risma bansos tagih suku anak pks patah hati
05/05/2021 05:12;0.0;bansos masyarakat senang gaksusah patuhiprokes perang lawan copid
05/05/2021 05:15;;materi bangsa sebab sidik kpk novel baswedan  
05/05/2021 05:19;0.0;kontan tetap sangka kpk bongkar praktik suap pajakhebat kpk babat pegawai pajak tapi aneh smp harun masiku belum tangkap madam bansos
05/05/2021 05:20;2.0;beda sengaja cari kpk lumpuh nirfungsi biar bisa radikal massive korupsi lap kuasa banget trik gelagat asabri benur bansos
05/05/2021 05:27;0.0;kentit bansos srnang la tu
05/05/2021 05:27;0.0;kamu bank bank coba bank dki bansos atoga kjp bedehh
05/05/2021 05:27;0.0;sewot syng la kalau novel pecat duluan harus tggu curi bansos kasus selesai hukum pecat
05/05/2021 05:29;0.0;anggar da habis curi bansos
05/05/2021 05:29;0.0;bansos pkh kemensos 2021 via
05/05/2021 05:30;0.0;tidak tidak mampu juliari kader pdip partai kuasa jumlah terima bansos ganda markup nilai bansos sunat ini korupsi biadab juliari tidak sendiri arti rembet kesana sini rezim runtuh
05/05/2021 05:30;0.0;pintar wawasan bangsa kelompok curi bansos
05/05/2021 05:31;0.0;faham saya hari baca tirto kumpar tau prkmbangannya masih selidik isu birokrasi dsana bgitupun isu alir korupsi bansos circle presiden juga masih selidik hanya dukung sayap kanan kiri memang trkesan kurang sabar mudah dmnfaatkan brkpentingan
05/05/2021 05:32;4.0;bajing jaksa kpk sebut juliari uang korupsi bansos beli sapi k
05/05/2021 05:33;0.0;malu tonton bodoh emg lucu fans nkri mabok pancasila pro koruptor pro koruptor ngentir bansos kamu arepin konyol lo
05/05/2021 05:36;0.0;efek korupsi bansos
05/05/2021 05:41;0.0;perkara suap om sikat sikat dana bansos
05/05/2021 05:43;0.0;semut seberang laut semut mata terlihatberbagai duga korupsi sentuh diam bambang bansos jakarta indikasi bansos 600 belum ubah barang minggu rutin
05/05/2021 05:47;0.0;tang nganu pro maling maling bansos sampai maling jemur
05/05/2021 05:48;0.0;madam bansos pasu arah
05/05/2021 05:50;0.0;tes wawasan kebangsan kamu noh korupsi bansos
05/05/2021 05:51;0.0;silah bro paham data percaya 21 juta terima bansos fiktif gimana
05/05/2021 05:51;0.0;uang bansos pakai karaoke ngerti rusak moral bangsa perkara dunia
